Minute,T_Out,Heater_Status,T_Indoor_True,T_Sensor_Noisy
0,9.2200000000000006,1,20.021400000000000,20.114799999999999
1,9.25,1,20.042700000000000,20.151900000000001
2,9.3100000000000005,1,20.064100000000000,19.898000000000000
3,9.3200000000000003,1,20.085500000000000,20.024300000000000
4,9.4700000000000006,1,20.106999999999999,20.348800000000001
5,9.3300000000000001,1,20.128399999999999,20.272300000000001
6,9.3200000000000003,1,20.149699999999999,20.178100000000001
7,9.25,1,20.170999999999999,20.133099999999999
8,9.3399999999999999,1,20.192299999999999,20.167400000000001
9,9.3200000000000003,1,20.213600000000000,20.114100000000001
10,9.4000000000000004,1,20.234900000000000,20.060800000000000
11,9.1600000000000001,1,20.256000000000000,19.931300000000000
12,9.3000000000000007,1,20.277200000000001,19.769200000000001
13,9.3599999999999994,1,20.298500000000001,19.922599999999999
14,9.1400000000000006,1,20.319500000000001,19.988299999999999
15,9.3100000000000005,1,20.340699999999998,19.929300000000001
16,9.25,1,20.361799999999999,20.019400000000001
17,9.3200000000000003,1,20.382999999999999,20.129200000000001
18,9.2899999999999991,1,20.404100000000000,20.071500000000000
19,9.1199999999999992,1,20.425000000000001,20.170300000000001
20,9.1899999999999995,1,20.446000000000002,20.231900000000000
21,9.2300000000000004,1,20.466999999999999,20.239699999999999
22,9.1600000000000001,1,20.488000000000000,20.463600000000000
23,9.3100000000000005,1,20.509000000000000,20.348500000000001
24,9.25,1,20.530000000000001,20.315600000000000
25,9.1799999999999997,1,20.550899999999999,20.475100000000001
26,9.1899999999999995,1,20.571800000000000,20.434500000000000
27,9.3699999999999992,1,20.592800000000000,20.576100000000000
28,9.2300000000000004,1,20.613700000000001,20.873200000000001
29,9.1899999999999995,1,20.634599999999999,20.638700000000000
30,9.2300000000000004,1,20.655400000000000,20.516600000000000
31,9.0500000000000007,1,20.676100000000002,20.528700000000001
32,9.0199999999999996,1,20.696800000000000,20.581600000000002
33,9.1799999999999997,1,20.717600000000001,20.566199999999998
34,9.0299999999999994,1,20.738199999999999,20.708200000000001
35,9.1199999999999992,1,20.758900000000001,20.536000000000001
36,8.9499999999999993,1,20.779399999999999,20.626100000000001
37,9.1400000000000006,1,20.800100000000000,20.424099999999999
38,9.0899999999999999,1,20.820699999999999,20.407100000000000
39,8.9600000000000009,1,20.841200000000001,20.403400000000001
40,9.0500000000000007,1,20.861799999999999,20.388900000000000
41,9.1999999999999993,1,20.882400000000001,20.410599999999999
42,9.1699999999999999,1,20.902999999999999,20.454999999999998
43,9.1099999999999994,1,20.923600000000000,20.612300000000001
44,9.1099999999999994,1,20.944099999999999,20.531600000000001
45,9.0899999999999999,1,20.964600000000001,20.597700000000000
46,9.1699999999999999,1,20.985199999999999,20.617599999999999
47,9.0700000000000003,1,21.005600000000001,20.731000000000002
48,8.8800000000000008,1,21.025900000000000,20.946999999999999
49,8.9499999999999993,1,21.046199999999999,21.122199999999999
50,9.1300000000000008,1,21.066700000000001,20.955800000000000
51,9.0199999999999996,1,21.087000000000000,20.855699999999999
52,9.1699999999999999,1,21.107500000000002,20.738299999999999
53,9.1899999999999995,1,21.127900000000000,20.825299999999999
54,9.0500000000000007,1,21.148199999999999,20.781500000000001
55,9.0999999999999996,1,21.168600000000001,20.908500000000000
56,8.9700000000000006,1,21.188800000000001,20.986999999999998
57,9.1999999999999993,1,21.209199999999999,20.967700000000001
58,8.9900000000000002,1,21.229399999999998,20.966400000000000
59,8.9600000000000009,1,21.249600000000001,21.111999999999998
60,9.0500000000000007,1,21.269800000000000,21.043099999999999
61,8.9000000000000004,1,21.289899999999999,21.210999999999999
62,9.0600000000000005,1,21.310099999999998,21.302900000000001
63,8.9499999999999993,1,21.330200000000001,21.482199999999999
64,9.0199999999999996,1,21.350400000000000,21.391400000000001
65,9.0199999999999996,1,21.370500000000000,21.286799999999999
66,9.0,1,21.390599999999999,21.172799999999999
67,8.9000000000000004,1,21.410599999999999,21.196200000000001
68,9.0099999999999998,1,21.430599999999998,21.137200000000000
69,9.0399999999999991,1,21.450700000000001,21.224499999999999
70,8.8900000000000006,1,21.470600000000001,21.261900000000001
71,8.9700000000000006,1,21.490600000000001,21.199600000000000
72,8.8699999999999992,1,21.510500000000000,21.363800000000001
73,8.9299999999999997,1,21.530400000000000,21.410000000000000
74,8.7699999999999996,1,21.550200000000000,21.571600000000000
75,9.0,1,21.570200000000000,21.516400000000001
76,9.0299999999999994,1,21.590100000000000,21.585300000000000
77,8.9199999999999999,1,21.609999999999999,21.609999999999999
78,9.0399999999999991,1,21.629899999999999,21.692900000000002
79,8.9600000000000009,1,21.649699999999999,21.780300000000000
80,8.8800000000000008,1,21.669499999999999,21.690899999999999
81,9.0099999999999998,1,21.689399999999999,21.662299999999998
82,8.8000000000000007,1,21.709099999999999,21.875299999999999
83,9.0199999999999996,1,21.728899999999999,21.878100000000000
84,8.9499999999999993,1,21.748699999999999,21.601600000000001
85,8.9000000000000004,1,21.768400000000000,21.475700000000000
86,8.7799999999999994,1,21.788000000000000,21.487400000000001
87,8.8499999999999996,1,21.807600000000001,21.407399999999999
88,8.8599999999999994,1,21.827200000000001,21.482299999999999
89,8.9499999999999993,1,21.846900000000002,21.712000000000000
90,9.0999999999999996,1,21.866700000000002,21.834000000000000
91,9.1199999999999992,1,21.886500000000002,21.863099999999999
92,8.9000000000000004,1,21.906099999999999,21.992000000000001
93,8.7799999999999994,1,21.925599999999999,22.091899999999999
94,8.9199999999999999,1,21.945200000000000,22.034199999999998
95,8.9900000000000002,1,21.964800000000000,21.924800000000001
96,8.7599999999999998,1,21.984200000000001,21.870799999999999
97,8.7899999999999991,1,22.003699999999998,21.640899999999998
98,9.0399999999999991,0,21.993300000000001,21.582599999999999
99,8.7699999999999996,0,21.982800000000001,21.454499999999999
100,8.9299999999999997,0,21.972400000000000,21.355000000000000
101,8.9399999999999995,0,21.962000000000000,21.489699999999999
102,9.0099999999999998,0,21.951599999999999,21.694600000000001
103,8.9700000000000006,0,21.941299999999998,21.750699999999998
104,9.0199999999999996,0,21.931000000000001,21.733400000000000
105,8.8699999999999992,0,21.920600000000000,21.728999999999999
106,8.9499999999999993,0,21.910200000000000,22.036100000000001
107,8.9700000000000006,0,21.899899999999999,21.943200000000001
108,9.1899999999999995,0,21.889800000000001,21.982800000000001
109,8.8900000000000006,0,21.879400000000000,22.016700000000000
110,8.8900000000000006,0,21.869000000000000,21.819500000000001
111,8.9299999999999997,0,21.858699999999999,21.925100000000000
112,9.0099999999999998,0,21.848500000000001,21.932600000000001
113,9.2100000000000009,0,21.838400000000000,21.790900000000001
114,9.0199999999999996,0,21.828199999999999,21.791799999999999
115,8.9000000000000004,0,21.817799999999998,22.025099999999998
116,9.0,0,21.807600000000001,21.998200000000001
117,8.7799999999999994,0,21.797200000000000,21.999300000000002
118,9.0700000000000003,0,21.787099999999999,21.745100000000001
119,8.6099999999999994,0,21.776599999999998,21.705400000000001
120,8.7899999999999991,0,21.766200000000001,21.839900000000000
121,8.8000000000000007,0,21.755900000000000,21.853500000000000
122,8.8900000000000006,0,21.745600000000000,21.972400000000000
123,8.9000000000000004,0,21.735399999999998,21.803699999999999
124,8.7699999999999996,0,21.725000000000001,21.874500000000001
125,8.9399999999999995,0,21.714800000000000,21.492599999999999
126,8.8300000000000001,0,21.704499999999999,21.443400000000000
127,8.7899999999999991,0,21.694199999999999,21.255099999999999
128,8.6999999999999993,0,21.683900000000001,21.501300000000001
129,8.7300000000000004,0,21.673500000000001,21.508199999999999
130,8.8599999999999994,0,21.663300000000000,21.523599999999998
131,8.6699999999999999,0,21.652999999999999,21.520000000000000
132,8.7200000000000006,0,21.642600000000002,21.390599999999999
133,8.6999999999999993,0,21.632300000000001,21.397099999999998
134,8.7400000000000002,0,21.622000000000000,21.473700000000001
135,8.6999999999999993,0,21.611699999999999,21.511600000000001
136,8.8200000000000003,0,21.601500000000001,21.546099999999999
137,8.8499999999999996,0,21.591400000000000,21.652100000000001
138,8.7200000000000006,0,21.581099999999999,21.588600000000000
139,8.6400000000000006,0,21.570799999999998,21.563300000000002
140,8.75,0,21.560600000000001,21.556200000000000
141,8.6699999999999999,0,21.550300000000000,21.860600000000002
142,8.7400000000000002,0,21.540099999999999,21.899400000000000
143,8.6699999999999999,0,21.529800000000002,21.758299999999998
144,8.7699999999999996,0,21.519600000000001,21.725700000000000
145,8.5299999999999994,0,21.509300000000000,21.775800000000000
146,8.8100000000000005,0,21.499099999999999,21.646599999999999
147,8.6400000000000006,0,21.488900000000001,21.847500000000000
148,8.7599999999999998,0,21.478700000000000,21.760600000000000
149,8.5299999999999994,0,21.468399999999999,21.596399999999999
150,8.5299999999999994,0,21.458100000000002,21.269200000000001
151,8.5600000000000005,0,21.447800000000001,21.344400000000000
152,8.5899999999999999,0,21.4375,21.516200000000001
153,8.6400000000000006,0,21.427299999999999,21.537900000000000
154,8.5500000000000007,0,21.417100000000001,21.668800000000001
155,8.5700000000000003,0,21.406800000000000,21.804500000000001
156,8.6300000000000008,0,21.396599999999999,21.487800000000000
157,8.3599999999999994,0,21.386199999999999,21.597400000000000
158,8.6600000000000001,0,21.376100000000001,21.611300000000000
159,8.4800000000000004,0,21.365800000000000,21.466300000000000
160,8.4600000000000009,0,21.355499999999999,21.520700000000001
161,8.5299999999999994,0,21.345300000000002,21.398199999999999
162,8.6300000000000008,0,21.335100000000001,21.560099999999998
163,8.4199999999999999,0,21.324800000000000,21.422200000000000
164,8.5500000000000007,0,21.314599999999999,21.327500000000001
165,8.6400000000000006,0,21.304500000000001,21.268400000000000
166,8.4800000000000004,0,21.294300000000000,21.095500000000001
167,8.3900000000000006,0,21.283999999999999,20.846900000000002
168,8.3599999999999994,0,21.273700000000002,20.943000000000001
169,8.2899999999999991,0,21.263300000000001,21.001600000000000
170,8.4100000000000001,0,21.253100000000000,20.975899999999999
171,8.3399999999999999,0,21.242799999999999,21.007700000000000
172,8.5299999999999994,0,21.232600000000001,21.206800000000001
173,8.1699999999999999,0,21.222200000000001,21.135000000000002
174,8.4100000000000001,0,21.212000000000000,21.247199999999999
175,8.3699999999999992,0,21.201699999999999,21.114100000000001
176,8.2400000000000002,0,21.191400000000002,21.109600000000000
177,8.1799999999999997,0,21.181000000000001,21.199800000000000
178,8.3499999999999996,0,21.170800000000000,21.285599999999999
179,8.3399999999999999,0,21.160599999999999,21.283999999999999
180,8.4299999999999997,0,21.150400000000001,21.109800000000000
181,8.3200000000000003,0,21.140200000000000,21.240600000000001
182,8.4499999999999993,0,21.130099999999999,21.082799999999999
183,8.4700000000000006,0,21.120000000000001,21.217600000000001
184,8.2699999999999996,0,21.109700000000000,21.199000000000002
